,time,target_flux,filter,norm_target_flux,target_mag,target_flux_err,target_mag_err,diff_mag,obs_no,color,Anomaly,Anomaly_Score
504,2022-11-06T05:45:32.000,158099.25,g,1.1993492,12.002675,397.61697,0.0027437152,0.41579086,20221106,tab:red,1,0.0006871857395864267
506,2022-11-06T05:53:22.000,155223.22,g,1.1775315,12.022609,393.98376,0.002769017,0.42758974,20221106,tab:red,1,0.0006871857395864267
511,2022-11-06T05:54:12.000,157693.92,g,1.1962743,12.005463,397.10693,0.0027472393,0.4183565,20221106,tab:red,1,0.0006871857395864267
512,2022-11-06T05:54:22.000,160680.27,g,1.2189289,11.985094,400.84943,0.0027215898,0.41884938,20221106,tab:red,1,0.0006871857395864267
515,2022-11-06T05:45:42.000,157684.58,g,1.1962035,12.005527,397.09518,0.0027473206,0.41725302,20221106,tab:red,1,0.0006871857395864267
519,2022-11-06T05:55:22.000,155152.98,g,1.1769987,12.0231,393.89462,0.0027696434,0.4297668,20221106,tab:red,1,0.0006871857395864267
521,2022-11-06T05:55:42.000,155784.28,g,1.1817877,12.018691,394.6952,0.002764026,0.42936307,20221106,tab:red,1,0.0006871857395864267
523,2022-11-06T05:56:02.000,157225.31,g,1.1927195,12.008694,396.51648,0.0027513301,0.42638555,20221106,tab:red,1,0.0031593706760697504
525,2022-11-06T05:56:22.000,156609.45,g,1.1880475,12.012955,395.73914,0.0027567346,0.43038252,20221106,tab:red,1,0.0006871857395864267
526,2022-11-06T05:45:52.000,163209.86,g,1.2381185,11.968134,403.9924,0.0027004166,0.41476163,20221106,tab:red,1,0.0006871857395864267
527,2022-11-06T05:56:32.000,155660.86,g,1.1808515,12.019551,394.5388,0.0027651216,0.42679504,20221106,tab:red,1,0.0006871857395864267
529,2022-11-06T05:56:52.000,156300.8,g,1.185706,12.015097,395.34897,0.0027594552,0.43213803,20221106,tab:red,1,0.0006871857395864267
531,2022-11-06T05:57:12.000,157755.98,g,1.1967452,12.005035,397.1851,0.0027466987,0.45345378,20221106,tab:red,1,0.0030215632167306383
535,2022-11-06T05:57:52.000,155812.34,g,1.1820006,12.018496,394.7307,0.002763777,0.4400555,20221106,tab:red,1,0.002000029815109272
537,2022-11-06T05:46:02.000,160206.08,g,1.2153317,11.988302,400.2575,0.0027256147,0.4217393,20221106,tab:red,1,0.0006871857395864267
548,2022-11-06T05:46:12.000,159506.8,g,1.2100269,11.9930525,399.38303,0.0027315826,0.4277222,20221106,tab:red,1,0.0006871857395864267
552,2022-11-06T06:00:22.000,157024.52,g,1.1911962,12.010081,396.26318,0.0027530887,0.45618507,20221106,tab:red,1,0.0034311451776393165
559,2022-11-06T05:46:22.000,157519.22,g,1.194949,12.006666,396.8869,0.0027487623,0.42176276,20221106,tab:red,1,0.0006871857395864267
565,2022-11-06T06:35:42.000,142080.72,g,1.0778317,12.118662,376.93594,0.0028942523,0.59820014,20221106,tab:red,1,0.00016137152449163805
567,2022-11-06T06:36:02.000,141996.0,g,1.0771891,12.119309,376.82358,0.0028951154,0.5956247,20221106,tab:red,1,0.0007286485264115794
577,2022-11-06T06:37:32.000,141523.55,g,1.073605,12.122929,376.19614,0.0028999439,0.6151456,20221106,tab:red,1,0.0005864438017789131
590,2022-11-06T06:39:32.000,136117.38,g,1.0325936,12.165216,368.9409,0.0029569718,0.624903,20221106,tab:red,1,0.005994085365775947
600,2022-11-06T06:41:02.000,134774.11,g,1.0224035,12.175983,367.11594,0.0029716708,0.6216546,20221106,tab:red,1,0.00038350757699984195
604,2022-11-06T06:41:32.000,138149.61,g,1.0480102,12.149126,371.6848,0.002935142,0.6279994,20221106,tab:red,1,0.00038350757699984195
